"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","39.69","39.78","40.20","38.83","4.25M","0.79%"
"03/01/2026","39.38","40.67","41.39","35.20","86.09M","-6.25%"
"02/01/2026","42.01","44.17","49.78","41.24","73.57M","-5.72%"
"01/01/2026","44.56","37.00","46.74","36.88","86.41M","20.40%"
"12/01/2025","37.01","30.52","37.14","30.16","66.47M","21.40%"
"11/01/2025","30.49","26.88","31.44","25.78","59.97M","13.12%"
"10/01/2025","26.95","28.51","29.93","26.16","49.01M","-4.53%"
"09/01/2025","28.23","28.11","28.97","26.57","45.38M","0.61%"
"08/01/2025","28.06","27.52","28.99","24.81","60.77M","2.60%"
"07/01/2025","27.35","25.65","29.78","25.61","59.12M","7.11%"
"06/01/2025","25.53","24.68","27.92","24.67","71.58M","3.23%"
"05/01/2025","24.74","23.64","26.94","22.02","92.80M","7.40%"
"04/01/2025","23.03","22.31","23.66","18.38","91.22M","4.35%"
"03/01/2025","22.07","22.62","25.47","21.90","109.24M","-2.82%"
"02/01/2025","22.71","21.20","23.05","20.25","61.30M","4.94%"
"01/01/2025","21.64","19.22","21.97","18.92","80.96M","12.04%"
"12/01/2024","19.31","19.30","20.55","18.57","66.23M","-0.38%"
"11/01/2024","19.39","24.75","25.39","18.41","116.45M","-21.81%"
"10/01/2024","24.80","30.55","31.03","24.70","74.30M","-18.24%"
"09/01/2024","30.33","28.22","30.99","26.50","67.77M","8.83%"
"08/01/2024","27.86","27.25","29.73","25.32","2.22M","1.35%"
"07/01/2024","27.50","26.83","28.08","25.05","2.88M","4.23%"
"06/01/2024","26.38","28.30","29.27","25.45","2.91M","-6.59%"
"05/01/2024","28.24","28.70","30.40","26.92","5.10M","3.25%"
"04/01/2024","27.35","27.60","27.75","27.28","3.43M","-3.80%"
"03/01/2024","28.43","28.23","28.92","24.95","3.85M","1.21%"
"02/01/2024","28.09","28.80","29.35","27.40","92.41M","-2.80%"
"01/01/2024","28.90","33.79","36.09","28.86","92.22M","-14.12%"
"12/01/2023","33.65","31.56","33.85","30.45","78.45M","7.30%"
"11/01/2023","31.36","40.92","42.58","30.22","129.41M","-22.87%"
"10/01/2023","40.66","45.56","45.76","40.13","48.90M","-10.54%"
"09/01/2023","45.45","50.49","51.32","44.97","44.98M","-10.07%"
"08/01/2023","50.54","53.17","53.80","49.74","36.46M","-4.89%"
"07/01/2023","53.14","51.05","53.69","48.28","47.46M","4.87%"
"06/01/2023","50.67","52.59","52.81","49.47","43.75M","-2.82%"
"05/01/2023","52.14","57.70","58.70","52.14","56.05M","-12.75%"
"04/01/2023","59.76","58.75","61.91","58.60","31.14M","1.77%"
"03/01/2023","58.72","56.22","59.00","54.80","54.36M","4.32%"
"02/01/2023","56.29","57.05","65.66","55.40","62.18M","-1.25%"
"01/01/2023","57.00","48.58","57.87","48.47","57.70M","17.95%"
"12/01/2022","48.33","55.25","55.57","48.31","50.91M","-12.74%"
"11/01/2022","55.38","53.85","56.39","49.55","60.20M","4.06%"
"10/01/2022","53.22","47.07","53.44","46.70","42.12M","12.24%"
"09/01/2022","47.42","51.79","55.94","47.01","54.67M","-9.86%"
"08/01/2022","52.60","56.97","59.41","50.31","66.64M","-7.72%"
"07/01/2022","57.00","56.36","59.36","54.23","48.27M","0.49%"
"06/01/2022","56.72","66.64","67.49","56.32","75.31M","-14.81%"
"05/01/2022","66.58","60.60","67.08","55.28","78.24M","5.85%"
"04/01/2022","62.90","61.95","67.99","61.13","77.79M","1.29%"
"03/01/2022","62.10","52.36","62.71","48.67","106.82M","20.56%"
"02/01/2022","51.51","53.88","55.74","50.09","75.59M","-4.33%"
"01/01/2022","53.84","47.38","54.28","47.20","71.25M","14.55%"
"12/01/2021","47.00","44.58","48.08","43.90","63.07M","5.57%"
"11/01/2021","44.52","49.00","51.84","44.22","62.83M","-8.53%"
"10/01/2021","48.67","46.68","49.26","45.69","53.52M","3.54%"
"09/01/2021","47.01","47.40","48.17","44.47","55.17M","-0.30%"
"08/01/2021","47.15","50.50","50.83","46.04","65.83M","-6.25%"
"07/01/2021","50.29","51.50","52.64","49.01","52.35M","-1.80%"
"06/01/2021","51.21","51.68","54.00","49.69","55.24M","-0.52%"
"05/01/2021","51.48","54.01","57.73","51.21","68.24M","-4.35%"
"04/01/2021","53.82","53.97","56.14","52.36","67.27M","-0.26%"
